"Material","Scenario","Year","value","Type"
"HSS/AHSS","Steel Intensive",2015,5694199689.10823,"Primary material"
"Other steels","Steel Intensive",2015,11355114359.3508,"Primary material"
"Wrought 
 Aluminum","Steel Intensive",2015,776602385.620274,"Primary material"
"Cast 
 Aluminum","Steel Intensive",2015,396953340.248447,"Primary material"
"HSS/AHSS","Aluminum Maximum",2015,5694199689.10823,"Primary material"
"Other steels","Aluminum Maximum",2015,11355114359.3508,"Primary material"
"Wrought 
 Aluminum","Aluminum Maximum",2015,776602385.620274,"Primary material"
"Cast 
 Aluminum","Aluminum Maximum",2015,396953340.248447,"Primary material"
"HSS/AHSS","No Lightweighting",2015,5694199689.10823,"Primary material"
"Other steels","No Lightweighting",2015,11355114359.3508,"Primary material"
"Wrought 
 Aluminum","No Lightweighting",2015,776602385.620274,"Primary material"
"Cast 
 Aluminum","No Lightweighting",2015,396953340.248447,"Primary material"
"HSS/AHSS","Steel Intensive",2030,9117420100.00368,"Primary material"
"Other steels","Steel Intensive",2030,6244568912.71244,"Primary material"
"Wrought 
 Aluminum","Steel Intensive",2030,727223896.009641,"Primary material"
"Cast 
 Aluminum","Steel Intensive",2030,0,"Primary material"
"HSS/AHSS","Aluminum Maximum",2030,1798171694.28443,"Primary material"
"Other steels","Aluminum Maximum",2030,4600574903.09593,"Primary material"
"Wrought 
 Aluminum","Aluminum Maximum",2030,5770314610.46406,"Primary material"
"Cast 
 Aluminum","Aluminum Maximum",2030,87999755.4772893,"Primary material"
"HSS/AHSS","No Lightweighting",2030,5590811932.52026,"Primary material"
"Other steels","No Lightweighting",2030,11155075963.8906,"Primary material"
"Wrought 
 Aluminum","No Lightweighting",2030,772649814.023891,"Primary material"
"Cast 
 Aluminum","No Lightweighting",2030,0,"Primary material"
"HSS/AHSS","Steel Intensive",2050,10372678992.1193,"Primary material"
"Other steels","Steel Intensive",2050,7061351331.85396,"Primary material"
"Wrought 
 Aluminum","Steel Intensive",2050,843686778.409271,"Primary material"
"Cast 
 Aluminum","Steel Intensive",2050,0,"Primary material"
"HSS/AHSS","Aluminum Maximum",2050,2069838346.39829,"Primary material"
"Other steels","Aluminum Maximum",2050,5221198560.12628,"Primary material"
"Wrought 
 Aluminum","Aluminum Maximum",2050,6595557596.45702,"Primary material"
"Cast 
 Aluminum","Aluminum Maximum",2050,0,"Primary material"
"HSS/AHSS","No Lightweighting",2050,6357165853.27305,"Primary material"
"Other steels","No Lightweighting",2050,12623096444.3503,"Primary material"
"Wrought 
 Aluminum","No Lightweighting",2050,893087028.47377,"Primary material"
"Cast 
 Aluminum","No Lightweighting",2050,0,"Primary material"
"HSS/AHSS","Steel Intensive",2015,2106073857.61537,"Secondary material"
"Other steels","Steel Intensive",2015,4199836817.84209,"Secondary material"
"Wrought 
 Aluminum","Steel Intensive",2015,219041698.508282,"Secondary material"
"Cast 
 Aluminum","Steel Intensive",2015,1821305442.06555,"Secondary material"
"HSS/AHSS","Aluminum Maximum",2015,2106073857.61537,"Secondary material"
"Other steels","Aluminum Maximum",2015,4199836817.84209,"Secondary material"
"Wrought 
 Aluminum","Aluminum Maximum",2015,219041698.508282,"Secondary material"
"Cast 
 Aluminum","Aluminum Maximum",2015,1821305442.06555,"Secondary material"
"HSS/AHSS","No Lightweighting",2015,2106073857.61537,"Secondary material"
"Other steels","No Lightweighting",2015,4199836817.84209,"Secondary material"
"Wrought 
 Aluminum","No Lightweighting",2015,219041698.508282,"Secondary material"
"Cast 
 Aluminum","No Lightweighting",2015,1821305442.06555,"Secondary material"
"HSS/AHSS","Steel Intensive",2030,3372196475.34383,"Secondary material"
"Other steels","Steel Intensive",2030,2309635077.3046,"Secondary material"
"Wrought 
 Aluminum","Steel Intensive",2030,205114432.207847,"Secondary material"
"Cast 
 Aluminum","Steel Intensive",2030,2156540932.03207,"Secondary material"
"HSS/AHSS","Aluminum Maximum",2030,665077201.995612,"Secondary material"
"Other steels","Aluminum Maximum",2030,1701582498.40534,"Secondary material"
"Wrought 
 Aluminum","Aluminum Maximum",2030,1627524633.72063,"Secondary material"
"Cast 
 Aluminum","Aluminum Maximum",2030,3234848340.9703,"Secondary material"
"HSS/AHSS","No Lightweighting",2030,2067834550.38421,"Secondary material"
"Other steels","No Lightweighting",2030,4125850014.04174,"Secondary material"
"Wrought 
 Aluminum","No Lightweighting",2030,217926870.622123,"Secondary material"
"Cast 
 Aluminum","No Lightweighting",2030,2252168228.40987,"Secondary material"
"HSS/AHSS","Steel Intensive",2050,3836470312.15373,"Secondary material"
"Other steels","Steel Intensive",2050,2611732684.38434,"Secondary material"
"Wrought 
 Aluminum","Steel Intensive",2050,237962937.500051,"Secondary material"
"Cast 
 Aluminum","Steel Intensive",2050,2500275575.76798,"Secondary material"
"HSS/AHSS","Aluminum Maximum",2050,765556648.667862,"Secondary material"
"Other steels","Aluminum Maximum",2050,1931128234.56726,"Secondary material"
"Wrought 
 Aluminum","Aluminum Maximum",2050,1860285475.92377,"Secondary material"
"Cast 
 Aluminum","Aluminum Maximum",2050,3819049587.11157,"Secondary material"
"HSS/AHSS","No Lightweighting",2050,2351280521.07359,"Secondary material"
"Other steels","No Lightweighting",2050,4668816493.11585,"Secondary material"
"Wrought 
 Aluminum","No Lightweighting",2050,251896341.364397,"Secondary material"
"Cast 
 Aluminum","No Lightweighting",2050,2607303677.51886,"Secondary material"
