"Material","Scenario","rec_scen","Case","Year","value","Type"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2015,5694199689.10823,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2015,776602385.620274,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2015,396953340.248447,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2015,5694199689.10823,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2015,776602385.620274,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2015,396953340.248447,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2015,5694199689.10823,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2015,776602385.620274,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2015,396953340.248447,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2015,5694199689.10823,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2015,776602385.620274,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2015,396953340.248447,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2015,5694199689.10823,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2015,776602385.620274,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2015,396953340.248447,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2015,5694199689.10823,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2015,11355114359.3508,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2015,776602385.620274,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2015,396953340.248447,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2016,5763092392.57246,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2016,10725990309.9238,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2016,757953937.686761,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2016,212004644.729931,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2016,5260696463.18457,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2016,10602720702.9138,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","BAU","Business-as-usual",2016,1116392506.43863,"Primary material production"
"Cast Aluminum","Aluminum Maximum","BAU","Business-as-usual",2016,251864171.041777,"Primary material production"
"HSS/AHSS","No Lightweighting","BAU","Business-as-usual",2016,5528608186.47043,"Primary material production"
"Other steels","No Lightweighting","BAU","Business-as-usual",2016,11049961599.4548,"Primary material production"
"Wrought Aluminum","No Lightweighting","BAU","Business-as-usual",2016,760951238.095539,"Primary material production"
"Cast Aluminum","No Lightweighting","BAU","Business-as-usual",2016,215062364.227135,"Primary material production"
"HSS/AHSS","Steel Intensive","CL100","Closed loop",2016,5677348672.26078,"Primary material production"
"Other steels","Steel Intensive","CL100","Closed loop",2016,10386574431.8405,"Primary material production"
"Wrought Aluminum","Steel Intensive","CL100","Closed loop",2016,742666780.741292,"Primary material production"
"Cast Aluminum","Steel Intensive","CL100","Closed loop",2016,219953966.341575,"Primary material production"
"HSS/AHSS","Aluminum Maximum","CL100","Closed loop",2016,5174952742.87289,"Primary material production"
"Other steels","Aluminum Maximum","CL100","Closed loop",2016,10263304824.8305,"Primary material production"
"Wrought Aluminum","Aluminum Maximum","CL100","Closed loop",2016,1101105349.49316,"Primary material production"
"Cast Aluminum","Aluminum Maximum","CL100","Closed loop",2016,259813492.65342,"Primary material production"
"HSS/AHSS","No Lightweighting","CL100","Closed loop",2016,5442864466.15874,"Primary material production"
"Other steels","No Lightweighting","CL100","Closed loop",2016,10710545721.3715,"Primary material production"
"Wrought Aluminum","No Lightweighting","CL100","Closed loop",2016,745664081.15007,"Primary material production"
"Cast Aluminum","No Lightweighting","CL100","Closed loop",2016,223011685.838779,"Primary material production"
"HSS/AHSS","Steel Intensive","BAU","Business-as-usual",2017,5795334020.36999,"Primary material production"
"Other steels","Steel Intensive","BAU","Business-as-usual",2017,10058982134.1783,"Primary material production"
"Wrought Aluminum","Steel Intensive","BAU","Business-as-usual",2017,729334384.717883,"Primary material production"
"Cast Aluminum","Steel Intensive","BAU","Business-as-usual",2017,301114067.156102,"Primary material production"
"HSS/AHSS","Aluminum Maximum","BAU","Business-as-usual",2017,4827332616.06626,"Primary material production"
"Other steels","Aluminum Maximum","BAU","Business-as-usual",2017,9823120594.90108,"Primary material production"
