"Year","Data_type","Source","Unit","Aeo_year","Aeo_case","Value","rel_Value"
2016,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1228.067362,0.314722916075291
2016,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0,0
2016,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1276.435459,0.32711844827807
2016,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",804.239993,0.206106573347181
2016,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",15.533867,0.00398094116938655
2016,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",3.973703,0.001018360583853
2016,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",573.808508,0.147052753370521
2017,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1254.508716,0.327737268499164
2017,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0,0
2017,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1141.124574,0.298115944616547
2017,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",792.317533,0.206990976417749
2017,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",11.582263,0.00302583727816757
2017,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.715155,0.000709327461740686
2017,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",625.539496,0.163420630835524
2018,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1240.594812,0.319773673032229
2018,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0,0
2018,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1214.431837,0.313029947738301
2018,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",797.014351,0.205437104857624
2018,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",11.504916,0.00296548817684985
2018,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.623545,0.00067624063304187
2018,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",613.433268,0.158117547624021
2019,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1184.125039,0.298888097870102
2019,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.17155,4.33013841451384e-05
2019,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1297.653726,0.327544170661009
2019,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",788.091393,0.198924209558556
2019,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",7.710905,0.00194632969694939
2019,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.50409,0.000632063905706789
2019,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",681.510491,0.172021845349653
2020,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1181.025897,0.296741385576984
2020,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.226485,5.69060110223842e-05
2020,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1248.503414,0.313695604735714
2020,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",764.657275,0.192125727176176
2020,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",7.664117,0.0019256653927582
2020,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.441303,0.000613395215696313
2020,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",775.465344,0.194841333479661
2021,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1145.225248,0.286996932665359
2021,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",0.296108,7.42055660107786e-05
2021,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1253.572113,0.314148986790268
2021,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",761.197837,0.190758494673448
2021,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",7.433786,0.00186292939648034
2021,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",2.369298,0.000593753289807116
2021,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",820.280298,0.205564739218731
2022,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1109.869176,0.276722083573533
