"Component","Weight","Relative","Size","Technology","Unit"
"Glider",1070.80726067512,0.664725708946015,"Car","ICEV-G","kg"
"Powertrain",341.411409448737,0.211938179280728,"Car","ICEV-G","kg"
"Transmission",63.7385267007307,0.0395670060376739,"Car","ICEV-G","kg"
"Battery Lead-Acid",24.267191795,0.0150643601911048,"Car","ICEV-G","kg"
"Fluids",56.24545388,0.0349155264242429,"Car","ICEV-G","kg"
"Wheels",54.4310844,0.033789219120235,"Car","ICEV-G","kg"
"Total",1610.90092689959,1,"Car","ICEV-G","kg"
"Glider",1190.1029485121,0.671189738406798,"Car","BEV100","kg"
"Powertrain",46.8901384764813,0.0264449221113479,"Car","BEV100","kg"
"Transmission",70.8394604862464,0.0399517697289017,"Car","BEV100","kg"
"Battery Lead-Acid",16.32932532,0.00920935084111243,"Car","BEV100","kg"
"EV Battery",163.1263836954,0.0919993979820387,"Car","BEV100","kg"
"Traction Motor",108.620506781367,0.0612593806471513,"Car","BEV100","kg"
"Electronic Controller",88.8105528173385,0.050087038090072,"Car","BEV100","kg"
"Fluids",33.974068513,0.0191605660555367,"Car","BEV100","kg"
"Wheels",54.4310844,0.0306978361370415,"Car","BEV100","kg"
"Total",1773.12446900193,1,"Car","BEV100","kg"
"Glider",1192.31151115408,0.510622875920121,"Car","BEV300","kg"
"Powertrain",44.073971851771,0.0188752503432516,"Car","BEV300","kg"
"Transmission",70.9709234683692,0.0303942188841641,"Car","BEV300","kg"
"Battery Lead-Acid",16.32932532,0.0069932454553449,"Car","BEV300","kg"
"EV Battery",673.015873053686,0.288227780595633,"Car","BEV300","kg"
"Traction Motor",158.028589589569,0.0676777940487388,"Car","BEV300","kg"
"Electronic Controller",91.8785491687177,0.0393481808847824,"Car","BEV300","kg"
"Fluids",33.974068513,0.0145498356834815,"Car","BEV300","kg"
"Wheels",54.4310844,0.023310818184483,"Car","BEV300","kg"
"Total",2335.01389651919,1,"Car","BEV300","kg"
"Glider",1072.28189202438,0.664802295209187,"Car","FFV","kg"
"Powertrain",341.881574328876,0.211962597703178,"Car","FFV","kg"
"Transmission",63.8263023752897,0.0395715647437635,"Car","FFV","kg"
"Battery Lead-Acid",24.267191795,0.0150453765223433,"Car","FFV","kg"
"Fluids",56.24545388,0.0348715268929079,"Car","FFV","kg"
"Wheels",54.4310844,0.0337466389286206,"Car","FFV","kg"
"Total",1612.93349880355,1,"Car","FFV","kg"
"Glider",1124.30058374962,0.667385686111997,"Car","ICEV-D","kg"
"Powertrain",358.466981910437,0.212786274532498,"Car","ICEV-D","kg"
"Transmission",66.9226530382237,0.03972533801005,"Car","ICEV-D","kg"
