"Region","Year","value"
"RoW",2000,0.00137314105800996
"UN-EUROPE",2000,0.125847804947183
"IAI Area 3",2000,0.0444996139024282
"UN-OCEANIA",2000,0.0031829747273277
"IAI Area 4&5 without China",2000,0.00247502005922815
"IAI Area 8",2000,0.0120396320907681
"IAI Area 1",2000,0.00358400301820028
"CA-QC",2000,0.227380581989047
"CN",2000,6.78578368019242e-05
"IAI Area 2, without Quebec",2000,0.579549370371006
"RoW",2001,0.00062438904139778
"UN-EUROPE",2001,0.107261630342796
"IAI Area 3",2001,0.0522804580592714
"UN-OCEANIA",2001,0.0255494243440004
"IAI Area 4&5 without China",2001,0.000873016501360646
"IAI Area 8",2001,0.0130004344341344
"IAI Area 1",2001,0.00666593536453006
"CA-QC",2001,0.309959972050028
"CN",2001,0.000318073186239039
"IAI Area 2, without Quebec",2001,0.483466666676243
"RoW",2002,0.000606061882919886
"UN-EUROPE",2002,0.142008523991606
"IAI Area 3",2002,0.0632663921047546
"UN-OCEANIA",2002,0.0194588506084669
"IAI Area 4&5 without China",2002,0.000492704747315322
"IAI Area 8",2002,0.0140058660810382
"IAI Area 1",2002,0.00421647594012983
"CA-QC",2002,0.282055485147972
"CN",2002,0.000580961846064287
"IAI Area 2, without Quebec",2002,0.473308677649733
"RoW",2003,0.00144431088093192
"UN-EUROPE",2003,0.128071089771425
"IAI Area 3",2003,0.0583822070349534
"UN-OCEANIA",2003,0.015142614384276
"IAI Area 4&5 without China",2003,0.000127088920551303
"IAI Area 8",2003,0.0096153371690387
"IAI Area 1",2003,0.00166768406083487
"CA-QC",2003,0.313005742961208
"CN",2003,0.000159864659551203
"IAI Area 2, without Quebec",2003,0.47238406015723
"RoW",2004,0.00177690045665415
"UN-EUROPE",2004,0.167230165972689
"IAI Area 3",2004,0.0795042939183543
"UN-OCEANIA",2004,0.0190016491430269
"IAI Area 4&5 without China",2004,0.0005467113542249
"IAI Area 8",2004,0.00974077912052091
"IAI Area 1",2004,0.00744586313202674
"CA-QC",2004,0.285727669196606
"CN",2004,0.00217903279544752
"IAI Area 2, without Quebec",2004,0.42684693491045
"RoW",2005,0.000928392675361464
"UN-EUROPE",2005,0.140925971800132
"IAI Area 3",2005,0.0601694329400552
"UN-OCEANIA",2005,0.0207994321698376
"IAI Area 4&5 without China",2005,0.000600460896337072
"IAI Area 8",2005,0.0180000200626433
"IAI Area 1",2005,0.0333606355497858
"CA-QC",2005,0.312033222810847
"CN",2005,0.0110046878465744
"IAI Area 2, without Quebec",2005,0.402177743248427
"RoW",2006,0.00153422175956323
"UN-EUROPE",2006,0.123264280038157
"IAI Area 3",2006,0.0555418910109784
"UN-OCEANIA",2006,0.0149514964619555
"IAI Area 4&5 without China",2006,0.000371552859305604
"IAI Area 8",2006,0.0311611905298214
"IAI Area 1",2006,0.0184363898865983
"CA-QC",2006,0.346751545472774
"CN",2006,0.00826844131368511
"IAI Area 2, without Quebec",2006,0.399718990667161
"RoW",2007,0.00127382460422138
"UN-EUROPE",2007,0.0839229172578745
"IAI Area 3",2007,0.0381606118208686
"UN-OCEANIA",2007,0.0221438413380636
"IAI Area 4&5 without China",2007,0.000983873677757388
"IAI Area 8",2007,0.021908530704454
"IAI Area 1",2007,0.0113701791039234
"CA-QC",2007,0.350678453281634
"CN",2007,0.00592750604326312
"IAI Area 2, without Quebec",2007,0.46363026216794
"RoW",2008,0.000284790448504512
"UN-EUROPE",2008,0.0571727688393842
"IAI Area 3",2008,0.0722963292825091
"UN-OCEANIA",2008,0.0115451976147934
"IAI Area 4&5 without China",2008,0.000628228893556855
"IAI Area 8",2008,0.015879267083806
"IAI Area 1",2008,0.00217666305879341
"CA-QC",2008,0.359724254319081
"CN",2008,0.00396041432545197
"IAI Area 2, without Quebec",2008,0.47633208613412
"RoW",2009,0.000647273488129515
"UN-EUROPE",2009,0.143029357544749
"IAI Area 3",2009,0.0923547563301227
"UN-OCEANIA",2009,0.00204626709574569
