"Year","Unit","value","mfa_alu_proj","Case"
2000,"kg CO2 eq / kg prim alu cons",13.4532797268781,"constant","Constant"
2001,"kg CO2 eq / kg prim alu cons",14.1324619767748,"constant","Constant"
2002,"kg CO2 eq / kg prim alu cons",14.5026241981403,"constant","Constant"
2003,"kg CO2 eq / kg prim alu cons",14.4083885484241,"constant","Constant"
2004,"kg CO2 eq / kg prim alu cons",13.8848197898501,"constant","Constant"
2005,"kg CO2 eq / kg prim alu cons",13.3786895458642,"constant","Constant"
2006,"kg CO2 eq / kg prim alu cons",13.0013727265141,"constant","Constant"
2007,"kg CO2 eq / kg prim alu cons",12.8318652765233,"constant","Constant"
2008,"kg CO2 eq / kg prim alu cons",13.3731428600703,"constant","Constant"
2009,"kg CO2 eq / kg prim alu cons",12.6266287234314,"constant","Constant"
2010,"kg CO2 eq / kg prim alu cons",12.2813980856481,"constant","Constant"
2011,"kg CO2 eq / kg prim alu cons",11.6514617170769,"constant","Constant"
2012,"kg CO2 eq / kg prim alu cons",12.8008888249155,"constant","Constant"
2013,"kg CO2 eq / kg prim alu cons",11.7629172636689,"constant","Constant"
2014,"kg CO2 eq / kg prim alu cons",11.5347938388048,"constant","Constant"
2015,"kg CO2 eq / kg prim alu cons",13.1835887695113,"constant","Constant"
2016,"kg CO2 eq / kg prim alu cons",12.170388399708,"constant","Constant"
2017,"kg CO2 eq / kg prim alu cons",12.1536748260599,"constant","Constant"
2018,"kg CO2 eq / kg prim alu cons",12.1370161847594,"constant","Constant"
2019,"kg CO2 eq / kg prim alu cons",12.1204122876317,"constant","Constant"
2020,"kg CO2 eq / kg prim alu cons",12.1038629471645,"constant","Constant"
2021,"kg CO2 eq / kg prim alu cons",12.0873679765063,"constant","Constant"
2022,"kg CO2 eq / kg prim alu cons",12.0709271894633,"constant","Constant"
2023,"kg CO2 eq / kg prim alu cons",12.0545404004976,"constant","Constant"
2024,"kg CO2 eq / kg prim alu cons",12.0382074247245,"constant","Constant"
2025,"kg CO2 eq / kg prim alu cons",12.0219280779102,"constant","Constant"
2026,"kg CO2 eq / kg prim alu cons",12.0057021764696,"constant","Constant"
2027,"kg CO2 eq / kg prim alu cons",11.9895295374641,"constant","Constant"
2028,"kg CO2 eq / kg prim alu cons",11.9734099785987,"constant","Constant"
2029,"kg CO2 eq / kg prim alu cons",11.9573433182205,"constant","Constant"
2030,"kg CO2 eq / kg prim alu cons",11.9413293753155,"constant","Constant"
2031,"kg CO2 eq / kg prim alu cons",11.9253679695072,"constant","Constant"
2032,"kg CO2 eq / kg prim alu cons",11.9094589210535,"constant","Constant"
2033,"kg CO2 eq / kg prim alu cons",11.8936020508451,"constant","Constant"
2034,"kg CO2 eq / kg prim alu cons",11.8777971804029,"constant","Constant"
2035,"kg CO2 eq / kg prim alu cons",11.8620441318754,"constant","Constant"
2036,"kg CO2 eq / kg prim alu cons",11.8463427280372,"constant","Constant"
2037,"kg CO2 eq / kg prim alu cons",11.8306927922864,"constant","Constant"
2038,"kg CO2 eq / kg prim alu cons",11.8150941486421,"constant","Constant"
2039,"kg CO2 eq / kg prim alu cons",11.7995466217423,"constant","Constant"
2040,"kg CO2 eq / kg prim alu cons",11.7840500368422,"constant","Constant"
2041,"kg CO2 eq / kg prim alu cons",11.7686042198111,"constant","Constant"
2042,"kg CO2 eq / kg prim alu cons",11.753208997131,"constant","Constant"
2043,"kg CO2 eq / kg prim alu cons",11.7378641958939,"constant","Constant"
2044,"kg CO2 eq / kg prim alu cons",11.7225696437997,"constant","Constant"
2045,"kg CO2 eq / kg prim alu cons",11.7073251691543,"constant","Constant"
2046,"kg CO2 eq / kg prim alu cons",11.692130600867,"constant","Constant"
2047,"kg CO2 eq / kg prim alu cons",11.6769857684486,"constant","Constant"
