"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Car","BEV100","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Battery production and assembly","Battery Assembly","GWP100",0,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
