"LWscen","i_year","Size","Technology","LCIA","vh_lca_yrs","Case","value","value_svg","value_rel_svg","value_svg_vkt"
"Aluminum Intensive","2016","Car","BEV100","GWP100","2016","Curent Lightweighting",24089.8639673952,-1219.15683576885,-0.048170841742579,-0.00625011034085302
"Aluminum Maximum","2016","Car","BEV100","GWP100","2016","Curent Lightweighting",24624.8600096713,-684.160793492672,-0.0270322901392986,-0.00350740800917388
"Steel Intensive","2016","Car","BEV100","GWP100","2016","Curent Lightweighting",24105.7336340157,-1203.28716914829,-0.0475438057642221,-0.00616875315649328
"Aluminum Intensive","2016","Light truck","BEV100","GWP100","2016","Curent Lightweighting",31155.7664395159,-2054.65600356239,-0.0618678069236853,-0.00994673516763632
"Aluminum Maximum","2016","Light truck","BEV100","GWP100","2016","Curent Lightweighting",31423.9295125065,-1786.49293057181,-0.0537931408019216,-0.00864853874733424
"Steel Intensive","2016","Light truck","BEV100","GWP100","2016","Curent Lightweighting",31495.0668444504,-1715.35559862784,-0.0516511225223923,-0.00830415788739855
"Aluminum Intensive","2016","Car","BEV300","GWP100","2016","Curent Lightweighting",42461.6047864327,-3127.21145882922,-0.0685960223666531,-0.0112223393023716
"Aluminum Maximum","2016","Car","BEV300","GWP100","2016","Curent Lightweighting",41785.1385421816,-3803.67770308023,-0.0834344476640267,-0.0136499121798476
"Steel Intensive","2016","Car","BEV300","GWP100","2016","Curent Lightweighting",43486.5554387333,-2102.26080652861,-0.0461135203690906,-0.00754419212884761
"Aluminum Intensive","2016","Light truck","BEV300","GWP100","2016","Curent Lightweighting",55999.2514915059,-4847.18509077513,-0.0796625959224483,-0.0164258963184121
"Aluminum Maximum","2016","Light truck","BEV300","GWP100","2016","Curent Lightweighting",54496.5241745912,-6349.91240768977,-0.104359643133792,-0.0215182628445969
"Steel Intensive","2016","Light truck","BEV300","GWP100","2016","Curent Lightweighting",57809.7902797985,-3036.64630248248,-0.0499067237631264,-0.0102904338056318
"Aluminum Intensive","2016","Car","CNG","GWP100","2016","Curent Lightweighting",67696.3650275336,-5244.4033983776,-0.0718994810659905,-0.0188201134301095
"Aluminum Maximum","2016","Car","CNG","GWP100","2016","Curent Lightweighting",65642.7907836777,-7297.97764223354,-0.100053479003945,-0.0261895885201601
"Steel Intensive","2016","Car","CNG","GWP100","2016","Curent Lightweighting",69883.8168175816,-3056.95160832966,-0.0419100548883678,-0.010970204167917
"Aluminum Intensive","2016","Light truck","CNG","GWP100","2016","Curent Lightweighting",97799.9181434172,-7940.9551478919,-0.075098255771116,-0.0269099082221295
"Aluminum Maximum","2016","Light truck","CNG","GWP100","2016","Curent Lightweighting",94564.7050381686,-11176.1682531406,-0.105693928045695,-0.0378732351922338
"Steel Intensive","2016","Light truck","CNG","GWP100","2016","Curent Lightweighting",101192.353758872,-4548.51953243729,-0.0430157174880372,-0.0154137935405597
"Aluminum Intensive","2016","Car","FCV","GWP100","2016","Curent Lightweighting",57172.1207143947,-2412.12784386301,-0.0404826426820602,-0.00865618377935441
"Aluminum Maximum","2016","Car","FCV","GWP100","2016","Curent Lightweighting",57131.3882696535,-2452.86028860418,-0.0411662536317115,-0.00880235659865957
"Steel Intensive","2016","Car","FCV","GWP100","2016","Curent Lightweighting",57768.605371133,-1815.64318712469,-0.0304718651498889,-0.00651563354963563
"Aluminum Intensive","2016","Light truck","FCV","GWP100","2016","Curent Lightweighting",104167.558242662,-3313.83482431118,-0.0308317070494823,-0.0112297562855753
"Aluminum Maximum","2016","Light truck","FCV","GWP100","2016","Curent Lightweighting",103861.974967472,-3619.41809950116,-0.0336748342780209,-0.0122653014733306
"Steel Intensive","2016","Light truck","FCV","GWP100","2016","Curent Lightweighting",105112.037185905,-2369.35588106845,-0.0220443354282919,-0.00802915368714064
"Aluminum Intensive","2016","Car","FFV","GWP100","2016","Curent Lightweighting",69022.8942673326,-5538.93542372377,-0.0742864740132331,-0.0198770737180099
