"LWscen","Year","delta_GWP100"
"Aluminum Maximum",2015,0
"Aluminum Maximum",2016,1898890518.61582
"Aluminum Maximum",2017,2625053082.25984
"Aluminum Maximum",2018,2657579090.22557
"Aluminum Maximum",2019,1506471220.41738
"Aluminum Maximum",2020,-629853598.604001
"Aluminum Maximum",2021,-3825341422.0883
"Aluminum Maximum",2022,-7477096729.5499
"Aluminum Maximum",2023,-11803937083.8325
"Aluminum Maximum",2024,-16968460465.7694
"Aluminum Maximum",2025,-22790107961.867
"Aluminum Maximum",2026,-29193501649.6104
"Aluminum Maximum",2027,-36385045192.1672
"Aluminum Maximum",2028,-44107813864.4368
"Aluminum Maximum",2029,-52556260521.2901
"Aluminum Maximum",2030,-61583816942.0257
"Aluminum Maximum",2031,-72489892662.035
"Aluminum Maximum",2032,-82084340086.414
"Aluminum Maximum",2033,-91007857929.9732
"Aluminum Maximum",2034,-99129193954.3327
"Aluminum Maximum",2035,-106657437456.358
"Aluminum Maximum",2036,-113574582358.234
"Aluminum Maximum",2037,-119909480553.268
"Aluminum Maximum",2038,-125495094975.936
"Aluminum Maximum",2039,-130451089219.961
"Aluminum Maximum",2040,-134929271185.85
"Aluminum Maximum",2041,-139050081456.634
"Aluminum Maximum",2042,-142942205421.261
"Aluminum Maximum",2043,-146532564284.184
"Aluminum Maximum",2044,-149927997235.439
"Aluminum Maximum",2045,-153161612630.07
"Aluminum Maximum",2046,-156445270431.806
"Aluminum Maximum",2047,-159519840471.487
"Aluminum Maximum",2048,-162545543841.217
"Aluminum Maximum",2049,-165126020178.856
"Aluminum Maximum",2050,-167640435953.978
