"LWscen","Year","GWP100","aeo_scen","Case","delta_GWP100"
"Adapted Aluminum Maximum",2015,1511306011540.24,"REF","Reference",0
"Complete Aluminum Maximum",2015,1511306011540.24,"REF","Reference",0
"Adapted Aluminum Maximum",2016,1499860348156.55,"REF","Reference",1844654474.28271
"Complete Aluminum Maximum",2016,1499914584200.88,"REF","Reference",1898890518.61597
"Adapted Aluminum Maximum",2017,1500745752997.85,"REF","Reference",2502394581.39453
"Complete Aluminum Maximum",2017,1500868411498.71,"REF","Reference",2625053082.26001
"Adapted Aluminum Maximum",2018,1504734891161.49,"REF","Reference",2459551269.42456
"Complete Aluminum Maximum",2018,1504932918982.29,"REF","Reference",2657579090.22559
"Adapted Aluminum Maximum",2019,1503275351784.35,"REF","Reference",1217509176.88525
"Complete Aluminum Maximum",2019,1503564313827.88,"REF","Reference",1506471220.41748
"Adapted Aluminum Maximum",2020,1496998719637.37,"REF","Reference",-1060522288.87109
"Complete Aluminum Maximum",2020,1497429388327.64,"REF","Reference",-629853598.60376
"Adapted Aluminum Maximum",2021,1482775278563.04,"REF","Reference",-4371568633.83472
"Complete Aluminum Maximum",2021,1483321505774.78,"REF","Reference",-3825341422.08813
"Adapted Aluminum Maximum",2022,1467947269210.21,"REF","Reference",-8082211004.91138
"Complete Aluminum Maximum",2022,1468552383485.57,"REF","Reference",-7477096729.5498
"Adapted Aluminum Maximum",2023,1452204290569.27,"REF","Reference",-12463340076.1663
"Complete Aluminum Maximum",2023,1452863693561.61,"REF","Reference",-11803937083.8325
"Adapted Aluminum Maximum",2024,1433725858524.67,"REF","Reference",-17634797747.6353
"Complete Aluminum Maximum",2024,1434392195806.53,"REF","Reference",-16968460465.7695
"Adapted Aluminum Maximum",2025,1413261508056.58,"REF","Reference",-23460337841.738
"Complete Aluminum Maximum",2025,1413931737936.45,"REF","Reference",-22790107961.8669
"Adapted Aluminum Maximum",2026,1395210826741.55,"REF","Reference",-29696822751.8311
"Complete Aluminum Maximum",2026,1395714147843.77,"REF","Reference",-29193501649.6104
"Adapted Aluminum Maximum",2027,1377495993042.27,"REF","Reference",-36674328084.7451
"Complete Aluminum Maximum",2027,1377785275934.85,"REF","Reference",-36385045192.1672
"Adapted Aluminum Maximum",2028,1361559527937.02,"REF","Reference",-44180026762.1716
"Complete Aluminum Maximum",2028,1361631740834.75,"REF","Reference",-44107813864.4368
"Adapted Aluminum Maximum",2029,1346102037608.88,"REF","Reference",-52371067692.4236
"Complete Aluminum Maximum",2029,1345916844780.02,"REF","Reference",-52556260521.29
"Adapted Aluminum Maximum",2030,1332392896496.93,"REF","Reference",-61087325639.6885
"Complete Aluminum Maximum",2030,1331896405194.6,"REF","Reference",-61583816942.0256
"Adapted Aluminum Maximum",2031,1318306722674.23,"REF","Reference",-71499525409.8931
"Complete Aluminum Maximum",2031,1317316355422.09,"REF","Reference",-72489892662.0352
"Adapted Aluminum Maximum",2032,1305654918992.48,"REF","Reference",-80673059340.5151
"Complete Aluminum Maximum",2032,1304243638246.58,"REF","Reference",-82084340086.4141
"Adapted Aluminum Maximum",2033,1294399288827.84,"REF","Reference",-89125860596.2263
"Complete Aluminum Maximum",2033,1292517291494.09,"REF","Reference",-91007857929.9731
"Adapted Aluminum Maximum",2034,1285866198329.22,"REF","Reference",-96794426670.7722
"Complete Aluminum Maximum",2034,1283531431045.66,"REF","Reference",-99129193954.3325
"Adapted Aluminum Maximum",2035,1279053767907.12,"REF","Reference",-103881963971.422
"Complete Aluminum Maximum",2035,1276278294422.18,"REF","Reference",-106657437456.358
"Adapted Aluminum Maximum",2036,1274709651888.09,"REF","Reference",-110341834887.083
"Complete Aluminum Maximum",2036,1271476904416.94,"REF","Reference",-113574582358.234
"Adapted Aluminum Maximum",2037,1271874188813.94,"REF","Reference",-116258388196.569
"Complete Aluminum Maximum",2037,1268223096457.24,"REF","Reference",-119909480553.268
"Adapted Aluminum Maximum",2038,1272064687125.21,"REF","Reference",-121433382779.536
"Complete Aluminum Maximum",2038,1268002974928.81,"REF","Reference",-125495094975.936
"Adapted Aluminum Maximum",2039,1274666735979.82,"REF","Reference",-125985968018.503
"Complete Aluminum Maximum",2039,1270201614778.36,"REF","Reference",-130451089219.961
"Adapted Aluminum Maximum",2040,1278762369836.98,"REF","Reference",-130079794215.172
"Complete Aluminum Maximum",2040,1273912892866.3,"REF","Reference",-134929271185.85
"Adapted Aluminum Maximum",2041,1285230564095.97,"REF","Reference",-133811638652.758
"Complete Aluminum Maximum",2041,1279992121292.09,"REF","Reference",-139050081456.634
"Adapted Aluminum Maximum",2042,1293012238855.39,"REF","Reference",-137339000732.981
"Complete Aluminum Maximum",2042,1287409034167.11,"REF","Reference",-142942205421.26
