"Size","Technology","Material","Source","Year","value"
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1980,125.792460796948
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1980,180.923723310963
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1980,670.504873418046
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1980,14.923732180651
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1980,37.0753346508857
"Car","ICEV-G","Other","TEDB&DUCK",1980,369.500894577746
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1981,123.977348482794
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1981,178.313098826603
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1981,660.829876643747
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1981,15.3201960447925
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1981,38.0602779788748
"Car","ICEV-G","Other","TEDB&DUCK",1981,364.043751388142
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1982,123.142997527066
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1982,177.113075546178
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1982,656.382580053695
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1982,15.7019486199902
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1982,39.0086737493136
"Car","ICEV-G","Other","TEDB&DUCK",1982,361.494359058282
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1983,126.106202555836
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1983,181.374969171139
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1983,672.177194453791
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1983,16.2842989781017
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1983,40.4554187156325
"Car","ICEV-G","Other","TEDB&DUCK",1983,370.151103849793
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1984,125.885686724189
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1984,181.057807514091
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1984,671.001790627136
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1984,16.7224121973557
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1984,41.5438323927342
"Car","ICEV-G","Other","TEDB&DUCK",1984,369.40815769137
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1985,125.574490689969
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1985,180.610223097395
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1985,669.343038932395
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1985,17.1172904751021
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1985,42.5248366158462
"Car","ICEV-G","Other","TEDB&DUCK",1985,368.405508708669
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1986,123.262875072942
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1986,177.285492015367
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1986,657.021556970226
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1986,17.6445351497199
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1986,43.8346813998267
"Car","ICEV-G","Other","TEDB&DUCK",1986,361.451046515902
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1987,122.639585293905
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1987,176.389032030321
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1987,653.699268561623
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1987,18.3204345732198
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1987,45.5138322324241
"Car","ICEV-G","Other","TEDB&DUCK",1987,359.466437841626
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1988,123.259837616738
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1988,177.281123328387
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1988,657.005366578733
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1988,18.7014022907445
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1988,46.4602781648112
"Car","ICEV-G","Other","TEDB&DUCK",1988,361.225324538701
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1989,125.310350052517
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1989,180.230317121291
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1989,667.935104120107
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1989,19.2646308106269
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1989,47.8595183553206
"Car","ICEV-G","Other","TEDB&DUCK",1989,367.182856620292
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1990,128.269862703052
"Car","ICEV-G","Cast Iron","TEDB&DUCK",1990,184.486900103517
"Car","ICEV-G","Mild steel and other steels","TEDB&DUCK",1990,683.710037232584
"Car","ICEV-G","Wrought Aluminum","TEDB&DUCK",1990,19.9274814149917
"Car","ICEV-G","Cast Aluminum","TEDB&DUCK",1990,49.5062517382894
"Car","ICEV-G","Other","TEDB&DUCK",1990,375.812157905054
"Car","ICEV-G","HSS/AHSS","TEDB&DUCK",1991,127.479121997608
