"Technology","Size","Fuel type","Unit","Year","Value"
"ICEV-G","Car","E10","L/100km",1980,9.924330994
"ICEV-G","Car","E10","L/100km",1981,9.924330994
"ICEV-G","Car","E10","L/100km",1982,9.924330994
"ICEV-G","Car","E10","L/100km",1983,9.924330994
"ICEV-G","Car","E10","L/100km",1984,9.924330994
"ICEV-G","Car","E10","L/100km",1985,9.924330994
"ICEV-G","Car","E10","L/100km",1986,9.924330994
"ICEV-G","Car","E10","L/100km",1987,9.882046536
"ICEV-G","Car","E10","L/100km",1988,9.740447286
"ICEV-G","Car","E10","L/100km",1989,9.922097288
"ICEV-G","Car","E10","L/100km",1990,10.08119431
"ICEV-G","Car","E10","L/100km",1991,10.0423233
"ICEV-G","Car","E10","L/100km",1992,10.19655593
"ICEV-G","Car","E10","L/100km",1993,10.02656442
"ICEV-G","Car","E10","L/100km",1994,10.10674609
"ICEV-G","Car","E10","L/100km",1995,10.03415256
"ICEV-G","Car","E10","L/100km",1996,10.08320667
"ICEV-G","Car","E10","L/100km",1997,10.06599687
"ICEV-G","Car","E10","L/100km",1998,10.07268094
"ICEV-G","Car","E10","L/100km",1999,10.36728148
"ICEV-G","Car","E10","L/100km",2000,10.45692136
"ICEV-G","Car","E10","L/100km",2001,10.40242681
"ICEV-G","Car","E10","L/100km",2002,10.33913956
"ICEV-G","Car","E10","L/100km",2003,10.23480394
"ICEV-G","Car","E10","L/100km",2004,10.30039473
"ICEV-G","Car","E10","L/100km",2005,10.17299585
"ICEV-G","Car","E10","L/100km",2006,10.23417051
"ICEV-G","Car","E10","L/100km",2007,9.924456607
"ICEV-G","Car","E10","L/100km",2008,9.850778201
"ICEV-G","Car","E10","L/100km",2009,9.434663016
"ICEV-G","Car","E10","L/100km",2010,9.172934252
"ICEV-G","Car","E10","L/100km",2011,9.214936899
"ICEV-G","Car","E10","L/100km",2012,8.727961445
"ICEV-G","Car","E10","L/100km",2013,8.518479318
"ICEV-G","Car","E10","L/100km",2014,8.504007758
"ICEV-G","Car","E10","L/100km",2015,8.317105541
"ICEV-G","Light truck","E10","L/100km",1980,14.15055287
"ICEV-G","Light truck","E10","L/100km",1981,14.15055287
"ICEV-G","Light truck","E10","L/100km",1982,14.15055287
"ICEV-G","Light truck","E10","L/100km",1983,14.15055287
"ICEV-G","Light truck","E10","L/100km",1984,14.15055287
"ICEV-G","Light truck","E10","L/100km",1985,14.15055287
"ICEV-G","Light truck","E10","L/100km",1986,14.15055287
"ICEV-G","Light truck","E10","L/100km",1987,14.15055287
"ICEV-G","Light truck","E10","L/100km",1988,14.15055287
"ICEV-G","Light truck","E10","L/100km",1989,14.15055287
"ICEV-G","Light truck","E10","L/100km",1990,14.15055287
"ICEV-G","Light truck","E10","L/100km",1991,14.15055287
"ICEV-G","Light truck","E10","L/100km",1992,14.15055287
"ICEV-G","Light truck","E10","L/100km",1993,14.15055287
"ICEV-G","Light truck","E10","L/100km",1994,14.15055287
"ICEV-G","Light truck","E10","L/100km",1995,14.15055287
"ICEV-G","Light truck","E10","L/100km",1996,14.15055287
"ICEV-G","Light truck","E10","L/100km",1997,14.15055287
"ICEV-G","Light truck","E10","L/100km",1998,14.15055287
"ICEV-G","Light truck","E10","L/100km",1999,14.15055287
"ICEV-G","Light truck","E10","L/100km",2000,13.96791039
"ICEV-G","Light truck","E10","L/100km",2001,14.24472782
"ICEV-G","Light truck","E10","L/100km",2002,14.27245766
"ICEV-G","Light truck","E10","L/100km",2003,14.09961572
"ICEV-G","Light truck","E10","L/100km",2004,14.24734879
"ICEV-G","Light truck","E10","L/100km",2005,13.92313657
"ICEV-G","Light truck","E10","L/100km",2006,13.70261778
"ICEV-G","Light truck","E10","L/100km",2007,13.5590503
"ICEV-G","Light truck","E10","L/100km",2008,13.21422173
"ICEV-G","Light truck","E10","L/100km",2009,12.70196219
"ICEV-G","Light truck","E10","L/100km",2010,12.5392759
"ICEV-G","Light truck","E10","L/100km",2011,12.3289214
"ICEV-G","Light truck","E10","L/100km",2012,12.21237316
"ICEV-G","Light truck","E10","L/100km",2013,11.90788887
"ICEV-G","Light truck","E10","L/100km",2014,11.5626447
"ICEV-G","Light truck","E10","L/100km",2015,11.16244947
"BEV100","Car","Electricity","kWh/100km",1998,18.30877499
"BEV100","Car","Electricity","kWh/100km",1999,18.30877499
"BEV100","Car","Electricity","kWh/100km",2000,18.30877499
"BEV100","Car","Electricity","kWh/100km",2001,18.30877499
"BEV100","Car","Electricity","kWh/100km",2002,18.30877499
"BEV100","Car","Electricity","kWh/100km",2003,18.30877499
"BEV100","Car","Electricity","kWh/100km",2004,18.30877499
"BEV100","Car","Electricity","kWh/100km",2005,18.30877499
"BEV100","Car","Electricity","kWh/100km",2006,18.30877499
"BEV100","Car","Electricity","kWh/100km",2007,18.30877499
"BEV100","Car","Electricity","kWh/100km",2008,18.30877499
"BEV100","Car","Electricity","kWh/100km",2009,18.30877499
